frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
246,28.0,1370.5,1398.5,1536.0,1527.5,1513.5,5.0,0.0,1.259970406174725,0,3,3,0,183.0,0.5,20.5,0.5,4.0,45;46;43;44 | 46;49;45;48,7;5;4;4 | 6;6;4;5
247,89.0,1305.5,1394.5,1536.0,1527.0,1513.0,5.0,0.0,1.2266094561583545,0,3,3,0,185.0,2.0,21.5,1.0,4.0,46;47;44;46 | 47;46;48;46,7;5;4;5 | 6;5;6;5
248,3.5,1376.0,1379.5,1536.0,1528.0,1491.5,5.0,0.0,1.5474338839383253,0,3,3,0,189.0,4.0,20.5,1.0,4.0,48;46;43;46 | 48;50;48;49,6;5;4;5 | 6;5;5;5
249,-2.0,1403.5,1401.5,1536.0,1527.0,1499.5,5.0,0.0,1.1854583807336723,0,3,3,0,197.0,8.0,18.0,2.5,4.0,54;49;47;47 | 55;50;48;44,6;5;4;4 | 6;4;4;3
250,150.0,1262.5,1412.5,1536.0,1527.5,1513.5,5.0,0.0,1.2525253295898438,0,3,3,0,189.5,7.5,17.5,0.5,4.0,52;48;43;46 | 52;49;46;43,7;4;4;4 | 6;4;3;3
251,182.0,1219.0,1401.0,1536.0,1528.0,1514.0,5.0,0.0,1.2430555820465088,0,3,3,0,185.5,4.0,19.5,2.0,4.0,50;47;44;44 | 50;48;45;43,7;5;5;4 | 6;5;4;3
252,125.5,1276.5,1402.0,1536.0,1527.5,1513.5,5.0,0.0,1.5202021598815918,0,3,3,0,181.0,4.5,18.0,1.5,4.0,49;44;42;43 | 50;45;45;44,6;4;3;4 | 7;4;4;4
253,67.5,1329.5,1397.0,1536.0,1527.5,1513.5,5.0,0.0,1.4411027602132964,0,3,3,0,179.0,2.0,20.0,2.0,4.0,45;46;43;44 | 45;49;45;41,6;5;4;4 | 6;6;5;4
254,68.0,1347.0,1415.0,1536.0,1527.5,1513.5,5.0,0.0,1.7348484992980957,0,3,3,0,175.5,3.5,20.0,0.0,4.0,46;45;42;44 | 46;42;47;39,7;5;4;5 | 6;4;6;3
255,87.5,1330.5,1418.0,1536.0,1526.5,1512.5,5.0,0.0,1.5416666666666667,0,3,3,0,175.0,0.5,20.5,0.5,4.0,45;42;43;44 | 44;43;48;41,7;4;5;5 | 6;4;6;4
256,93.5,1306.0,1399.5,1536.0,1527.0,1513.0,5.0,0.0,1.4927210839473928,0,3,3,0,175.5,0.5,22.5,2.0,4.0,44;45;43;45 | 43;44;47;40,7;6;5;6 | 6;5;6;4
257,74.5,1326.0,1400.5,1536.0,1526.5,1512.5,5.0,0.0,1.7048055523068069,0,3,3,0,169.0,6.5,20.0,2.5,4.0,40;43;41;44 | 44;41;42;43,6;4;4;5 | 7;4;5;5
258,75.0,1328.0,1403.0,1536.0,1527.0,1508.5,5.0,0.0,1.3525287917061883,0,3,3,0,168.5,0.5,19.5,0.5,4.0,42;45;41;45 | 40;42;41;41,6;5;4;5 | 6;5;4;4
259,35.0,1367.0,1402.0,1536.0,1527.0,1508.5,5.0,0.0,1.2542128144034275,0,3,3,0,181.5,13.0,22.5,3.0,4.0,41;45;44;46 | 47;47;49;44,7;5;5;6 | 6;5;6;5
260,-31.5,1431.5,1400.0,1536.0,1528.0,1514.0,5.0,0.0,1.2388059064151733,0,3,3,0,175.5,6.0,20.0,2.5,4.0,41;45;44;45 | 40;44;50;42,6;5;4;5 | 6;4;6;4
261,-71.5,1453.0,1381.5,1536.0,1527.5,1513.5,5.0,0.0,1.478477597828686,0,3,3,0,179.0,3.5,21.5,1.5,4.0,43;42;44;46 | 44;45;50;44,6;4;5;5 | 6;5;7;5
262,-83.0,1470.5,1387.5,1536.0,1526.5,1512.5,5.0,0.0,1.3352381854870925,0,3,3,0,180.5,1.5,21.0,0.5,4.0,47;47;44;42 | 44;45;49;43,6;6;5;4 | 6;5;6;4
263,-10.5,1398.0,1387.5,1536.0,1528.0,1514.0,5.0,0.0,1.3757471936565135,0,3,3,0,182.5,2.0,21.5,0.5,4.0,46;45;43;45 | 46;46;48;46,6;5;5;5 | 6;5;6;5
264,-67.5,1458.5,1391.0,1536.0,1527.0,1513.0,5.0,0.0,1.2420075788916858,0,3,3,0,181.0,1.5,21.5,0.0,4.0,46;45;44;44 | 44;45;49;45,6;5;5;5 | 6;5;6;5
265,-22.0,1425.5,1403.5,1536.0,1527.5,1513.5,5.0,0.0,1.276838406223541,0,3,3,0,180.0,1.0,23.0,1.5,4.0,44;45;44;44 | 42;46;49;46,6;5;5;5 | 6;6;7;6
266,-94.0,1501.0,1407.0,1536.0,1528.0,1514.0,5.0,0.0,1.3448275419818108,0,3,3,0,179.5,0.5,21.0,2.0,4.0,46;45;43;44 | 44;42;48;47,6;5;4;5 | 6;4;6;6
267,-62.0,1452.0,1390.0,1536.0,1527.5,1513.5,5.0,0.0,1.453998234146311,0,3,3,0,187.0,7.5,23.5,2.5,4.0,49;48;44;46 | 48;47;47;45,7;6;5;6 | 6;6;6;5
268,-18.5,1427.0,1408.5,1536.0,1527.0,1513.0,5.0,0.0,1.1287490620783496,0,3,3,0,185.0,2.0,23.5,0.0,4.0,47;46;45;45 | 46;46;47;48,6;6;5;5 | 6;6;6;7
269,17.0,1371.5,1388.5,1536.0,1527.5,1500.0,5.0,0.0,1.195049868506668,0,3,3,0,188.0,3.0,24.0,0.5,4.0,45;45;46;44 | 48;48;51;49,6;6;6;5 | 6;6;7;6
270,-119.0,1501.5,1382.5,1536.0,1527.0,1481.5,5.0,0.0,1.2716049510628478,0,3,3,0,198.5,10.5,19.5,4.5,4.0,49;49;49;47 | 51;48;52;52,6;4;5;4 | 6;4;5;5
271,117.0,1301.0,1418.0,1536.0,1527.0,1513.0,5.0,0.0,1.4439959076575684,0,3,3,0,197.5,1.0,20.5,1.0,4.0,55;50;49;43 | 55;50;47;46,7;5;5;4 | 7;5;4;4
272,48.5,1292.0,1340.5,1536.0,1527.5,1513.5,5.0,0.0,1.745580832163493,0,3,3,0,189.5,8.0,17.5,3.0,4.0,52;48;44;44 | 53;50;42;46,6;5;3;3 | 6;5;3;4
273,165.0,1247.5,1412.5,1536.0,1527.5,1513.5,5.0,0.0,1.5863409257852383,0,3,3,0,186.0,3.5,20.5,3.0,4.0,49;45;46;46 | 51;45;44;46,7;4;5;5 | 7;4;4;5
274,99.0,1299.5,1398.5,1536.0,1527.5,1513.5,5.0,0.0,1.2476548010786432,0,3,3,0,185.0,1.0,19.5,1.0,4.0,49;45;44;46 | 49;45;45;47,6;5;4;5 | 6;4;4;5
275,36.0,1364.0,1400.0,1536.0,1527.5,1513.5,5.0,0.0,1.302016352847005,0,3,3,0,184.0,1.0,21.5,2.0,4.0,48;45;45;44 | 48;43;47;48,6;5;5;5 | 6;5;5;6
276,0.0,1373.0,1373.0,1536.0,1527.0,1513.0,5.0,0.0,1.3388525937402236,0,3,3,0,183.5,0.5,21.5,0.0,4.0,49;45;45;45 | 48;42;46;47,6;5;5;5 | 6;5;5;6
277,-33.0,1403.0,1370.0,1536.0,1526.5,1512.5,5.0,0.0,1.3392771688380771,0,3,3,0,184.0,0.5,22.0,0.5,4.0,47;47;43;46 | 46;47;44;48,6;6;4;5 | 6;6;5;6
278,-14.5,1400.0,1385.5,1536.0,1525.0,1511.0,5.0,0.0,1.3395062645767033,0,3,3,0,182.5,1.5,22.0,0.0,4.0,46;47;45;44 | 48;42;47;46,6;6;5;5 | 6;4;6;6
279,-15.5,1427.0,1411.5,1536.0,1527.5,1513.5,5.0,0.0,1.3907637295994453,0,3,3,0,179.0,3.5,20.0,2.0,4.0,47;45;42;45 | 46;42;45;46,6;5;4;5 | 6;4;5;5
280,-71.5,1477.0,1405.5,1536.0,1527.5,1509.0,5.0,0.0,1.3479406954261308,0,3,3,0,180.0,1.0,21.0,1.0,4.0,46;44;44;46 | 47;42;43;48,6;5;5;5 | 6;5;4;6
281,44.5,1372.0,1416.5,1536.0,1528.0,1514.0,5.0,0.0,1.3587443481327501,0,3,3,0,177.5,2.5,20.0,1.0,4.0,44;43;45;45 | 46;42;44;46,6;4;5;5 | 6;4;5;5
282,-14.5,1419.5,1405.0,1536.0,1527.5,1513.5,5.0,0.0,1.1702951330492486,0,3,3,0,184.5,7.0,23.0,3.0,4.0,49;46;44;46 | 47;46;44;47,7;6;5;6 | 6;5;5;6
283,-53.5,1461.5,1408.0,1536.0,1527.0,1513.0,5.0,0.0,1.2054474805755013,0,3,3,0,179.5,5.0,22.5,0.5,4.0,48;45;44;43 | 46;43;44;46,7;6;5;5 | 6;5;5;6
284,-28.0,1428.0,1400.0,1536.0,1527.5,1513.5,5.0,0.0,1.1243377474756522,0,3,3,0,179.5,0.0,23.5,1.0,4.0,48;47;42;42 | 47;43;45;45,7;6;5;5 | 7;5;6;6
285,-1.5,1411.0,1409.5,1536.0,1528.0,1514.0,5.0,0.0,1.226439318363234,0,3,3,0,179.5,0.0,23.5,0.0,4.0,47;42;42;44 | 48;44;46;46,7;5;5;6 | 7;5;6;6
286,-64.5,1476.0,1411.5,1536.0,1527.5,1513.5,5.0,0.0,1.1200136142948378,0,3,3,0,180.5,1.0,23.5,0.0,4.0,49;45;44;42 | 48;44;45;44,7;6;6;5 | 7;5;6;5
287,-73.5,1468.0,1394.5,1536.0,1528.0,1514.0,5.0,0.0,1.2321134537335843,0,3,3,0,179.0,1.5,23.5,0.0,4.0,48;46;43;42 | 47;44;46;42,7;6;5;5 | 7;6;6;5
288,-42.5,1450.5,1408.0,1536.0,1527.0,1513.0,5.0,0.0,1.2294654794413529,0,3,3,0,177.5,1.5,23.5,0.0,4.0,47;44;43;43 | 47;42;45;44,7;6;5;5 | 7;5;6;6
